,RPA2,PABPC4,FDPS,NCL,ABHD14B,HMGCS1,MAP1B,PSMG4,HIST1H4C,UQCC2,ACAT2,KCNH2,HNRNPH2,UTP14A,FDFT1,LY6E,TGFBR1,IFITM2,MDK,RNASEH2C,GSTP1,DHCR7,GAPDH,C12orf57,TUBA1B,MYL6,ARL1,C12orf45,PEBP1,GABPB1-AS1,NPW,ATF7IP2,CYBA,SPAG7,EFTUD2,SEPT9,ARHGDIA,C19orf25,MFSD12,FXYD5,BLVRB,APOE,BID,GGA1,SCO2,RP11-717F1.1,WDR4,MT-ND2,MT-CO1,MT-ND6
sgPMVKa / sgNegCtrl3b,-0.11852562234668375,-0.007609425994237068,0.43226755141858886,-0.059346560713100564,-0.007691409566559897,0.6616516501329233,0.28596991334933525,-0.0487898579027186,0.048704307549333595,-0.05017737933020333,0.6179165296982443,-0.14304100519659488,-0.020962191052941753,-0.04635389175846866,0.5161692065061224,-0.15870786514157034,-0.059351984198379296,-0.09661187265261957,-0.08744190859898952,-0.020611914538885664,-0.08429042009284719,0.2853098369739276,-0.055183640295532355,-0.03422020773800355,0.07358444473484464,0.03225265090146925,0.18562585247288085,0.0771584049407065,0.0395593843790202,-0.06759392319967318,-0.13900493141753675,0.00012556509417961927,-0.09237794791300966,-0.02890759153849874,0.01803825364062195,-0.07052376212951783,0.16583812587078214,-0.022665104911495957,-0.11022224966816682,-0.06533911192478634,-0.007244649114807928,-0.04737173757261179,-0.10132789938113472,0.13603452237733038,0.018342971781058155,0.166118395667238,0.05459623902175224,0.17522504830670327,0.002012926870061111,0.06357799790287347
sgNegCtrl02093a / sgFDPSb,0.04052783490996426,-0.0967162148637898,-1.0557999902187765,-0.26978124858663494,0.13249383389125347,0.20653021331885899,-0.019094672645611793,0.09371201587185068,-0.20060208745173816,0.09423475029376187,0.0716936723876899,-0.03480863342882826,-0.0009183274245993866,-0.008460789034614337,0.0664419868096399,0.09688797063881129,-0.04191299141436593,0.0721191133121485,0.5413548835035978,0.0690099588868236,0.23741517538895748,0.022768464718928554,-0.22200180470096487,0.08152150055989785,-0.2384828875337491,0.22947969063083448,-0.06657291839023362,-0.09096411390195754,-0.15471830372622533,0.21425300521344856,0.16418840725665812,0.4150949627975457,0.15338439139123455,0.07169035917819798,-0.020915548680509332,0.015767948208517166,-0.1095569357143016,0.06595011780225223,-0.07344026604321888,0.20134396624738707,0.46277041822299647,0.26676709721536174,0.023817808810753936,0.08856022286411379,-0.08054412753186244,0.33651507565111927,-0.16201363170538352,-0.22658619279237696,0.3680511324908989,-0.3110284262508021
sgPMVKa / sgFDPSb,-0.02061386849377252,-0.08281450701477652,-1.1942182385794653,-0.09258499903919934,0.009902503825041434,0.6180955135879544,0.14951384284463354,-0.04342750015245267,0.03509904530730975,-0.07912466691300334,0.7912230810592723,-0.09999897989021017,-0.03519284302054494,0.022993551532010964,0.4801869546922085,-0.012271569432356138,0.07614739177214698,0.05377235648612291,-0.028863987147216292,0.016032856425149004,-0.07762865501303451,0.32232173824092586,0.14199443487869695,-0.08662882261128153,0.13278202802292088,0.02534111740693014,-0.030391707779770218,0.031796962418173036,0.019630275662583532,0.02257892537325291,-0.13586854230047574,0.08905148368685693,-0.09128094434586909,0.053939655866523266,0.11685372802273895,0.0284166858583135,0.0790169362987227,-0.07997436244921026,0.05830719129588496,-0.10217784353055574,0.03489568584905799,-0.07078496092175199,-0.056250505455059684,-0.06440542079584381,-0.05091683657311998,0.006597406046074731,-0.03546614194650152,-0.03939545129492763,0.10448042215906922,-0.07590235462485126
model prediction,-0.016571845366450153,-0.017930060602341785,-0.09375665387222766,-0.05755776694160158,0.020978009835373918,0.16600270556297175,0.05334605793504728,0.006259406854666411,-0.024428334659253283,0.006073609782213647,0.13445040159835914,-0.03421662046985761,-0.0043040196229257414,-0.010609471663643188,0.11342445647434865,-0.014952204990519264,-0.018862408661013103,-0.006870668527998416,0.0746292126335,0.00764046801694527,0.023638006691672077,0.060324609109210496,-0.04862012158130524,0.007072313972527418,-0.02593785976984804,0.04535234863130555,0.02542690959492313,-0.00017909514182078146,-0.018446010505369478,0.02300858257610219,0.00037559285224492145,0.07051598977406798,0.007767568857533793,0.006454074890818747,1.7607012535303737e-05,-0.011277780501316465,0.014211730332411656,0.006714555581497185,-0.03428273056319733,0.021262568161232544,0.07715375985449648,0.035928124833016425,-0.016006386464935053,0.041958211878263006,-0.010048178777695841,0.09001883479042119,-0.016709354008322387,-0.0038045817796126258,0.06290051629224178,-0.04023760335136524
difference,-0.004042023127322367,-0.06488444641243474,-1.1004615847072376,-0.03502723209759776,-0.011075506010332484,0.4520928080249827,0.09616778490958626,-0.04968690700711908,0.05952737996656303,-0.08519827669521698,0.6567726794609132,-0.06578235942035257,-0.0308888233976192,0.033603023195654155,0.3667624982178599,0.0026806355581631258,0.09500980043316008,0.06064302501412133,-0.10349319978071629,0.008392388408203735,-0.10126666170470658,0.26199712913171536,0.1906145564600022,-0.09370113658380895,0.1587198877927689,-0.02001123122437541,-0.05581861737469335,0.03197605755999382,0.03807628616795301,-0.000429657202849279,-0.13624413515272066,0.018535493912788956,-0.09904851320340288,0.04748558097570452,0.11683612101020364,0.03969446635962996,0.06480520596631104,-0.08668891803070744,0.0925899218590823,-0.1234404116917883,-0.04225807400543848,-0.10671308575476841,-0.04024411899012463,-0.10636363267410681,-0.04086865779542414,-0.08342142874434647,-0.018756787938179136,-0.035590869515315,0.041579905866827443,-0.03566475127348602
