,ENO1,PRDX1,SERBP1,FDPS,MAT2A,HSPD1,HSPE1,NCL,PTMA,THUMPD3-AS1,EPM2AIP1,NPM1,HIST1H4C,HSP90AB1,RPS12,SLC25A37,SET,RPLP2,MDK,FADS1,PPA1,GAPDH,RPLP0,RAN,N4BP2L2,TPT1,RPLP1,RPS2,SNHG19,ATF7IP2,C1QBP,EIF5A,VAMP2,NOP56,RPL18A,PGPEP1,FXYD5,BLVRB,APOC1,RPL13A,RPS9,RANBP1,RP11-717F1.1,MT-ND1,MT-ND2,MT-CO2,MT-ATP6,MT-CO3,MT-ND3,MT-ND6
sgHUS1_2a / sgNegCtrl3b,-0.13035550681726069,0.0027528003073665425,-0.14887222239198483,-0.04077716724520235,-0.029392727551776507,-0.0477588228045525,-0.09333475270908394,-0.11766364821600751,-0.1403209556326966,0.09285710982799507,-0.025437538327289413,-0.10012184619774228,-0.00040662725276614163,-0.030730911759419485,0.24569889902005948,0.10767875009318977,-0.24402535811987278,0.14493692035439454,0.1677006325608473,-0.08909716034848769,-0.02389018216718427,0.059716941489043746,0.14229704678329252,-0.11605936878625518,-0.033185209390260144,0.00774447910916287,0.32811203908489617,-0.09560895722333378,-0.03319976327716253,-0.039181039045246224,-0.061224307599831385,-0.10712617715444114,-0.027421766960164008,0.0057196036377172845,0.08841774157601773,-0.09500247613163965,0.014744041255866685,0.1852870704770228,0.12633582310470184,-0.06868975571921984,0.08024477506374215,-0.17149652737247506,0.1594004370996024,0.11097643612943969,-0.006593563169031597,0.1899929278805767,0.013471393018393849,0.22862428466794027,0.07978251321329989,0.03710035988781764
sgNegCtrl02093a / sgFDPS_2b,-0.899808072857878,-0.9292395940323683,-0.7583807712795633,-1.1225614355476257,0.9299404433250716,-0.9635080326154432,-0.9651155243028807,-0.9863813339918245,-1.003163289545741,1.5897384985386975,1.1366133569291628,-0.8357967645646927,-0.44136527785515034,-0.8386996761172446,-0.42043327183213874,1.7554118913720411,-0.9139775137019648,-0.18243970096155512,1.7887597618043471,1.0636338007590145,-0.5621286061089114,-0.9133932052252368,0.1693576731085888,-0.9627032136330053,0.8835549277827287,0.6572414383964978,0.16269423817612938,-1.0289283184861542,0.8630228943444598,1.2715577197951533,-0.7609499617694632,-0.8506312963082654,1.0531468725895843,-0.7121872719317657,-0.31553326441983653,0.5934029374148202,1.0549782271642345,1.4616291324410071,1.364787331222504,-0.7050318286837804,-0.4388628480549999,-0.9201454026611118,1.3831375465889353,-0.30562239390490437,-0.31594140966819023,-0.5459399646629145,-0.8148868675349876,-0.6839950314219081,-0.39195049015284705,-0.7226841004540553
sgHUS1_2a / sgFDPS_2b,-0.8191171169663786,-0.42615049101704894,-0.775787598436981,-1.0315313850924592,0.03701144225100197,-0.8270036926968504,-0.9004233551066475,-0.8214742959408448,-0.7368231456099859,0.6256478738835268,0.3759581446391464,-0.6675040729646444,-0.4777027953171023,-0.47147499171149015,0.6036509334071443,0.809139441664276,-0.7615452466708197,0.5934287296543826,1.3493709513400318,0.12649311779055342,-0.5413237143867112,-0.3935898405432043,0.9860227351369325,-0.7527504175713999,0.23354587001773291,0.8105352514603117,1.1496620552088643,-0.16783600621605593,0.3576414616347102,0.3218760220037164,-0.7161588531420525,-0.6684784324934989,0.7383602246412446,-0.3953990791196765,0.6565415578666622,0.1475451592244259,0.478926389323041,0.7734639207143646,1.2441500846278222,0.01067901115152484,0.5369809701160125,-0.9706792772461185,0.8596645076973535,-0.24587988832080845,-0.3129010683459498,-0.33219448658747835,-0.6191013268440108,-0.5712434154373771,-0.33237704965197357,-0.4872061270126005
model prediction,-0.6696423194736294,-0.5249900599750468,-0.6116829388572649,-0.6876824286393179,0.49308922406261163,-0.605716000210273,-0.6618880292737794,-0.7034762228934036,-0.7404883801970853,1.0164440173289162,0.6153904273217866,-0.5965916092069026,-0.25143527409611915,-0.5141097499001726,0.05885396392791553,1.1286094868928456,-0.8155163454212568,0.07199954271962418,1.220342647400898,0.4967137691295861,-0.3485687667008648,-0.44691485429326044,0.26881646733601605,-0.6880687187760478,0.4621181589927753,0.3830703425977796,0.4903174174141389,-0.7009267129315923,0.450426837996682,0.6754511099231288,-0.5068758483258167,-0.613518248006538,0.5655290368049084,-0.3979859076173893,-0.07219812563844778,0.2221998732990531,0.6176937776293204,1.0556720366292511,0.9291369020962651,-0.48413448966334954,-0.1522275182363147,-0.7310863082388479,0.9796589413868031,-0.039212148706519456,-0.18762567524684381,-0.08004415441564455,-0.44697812283309835,-0.1116984269293666,-0.12611553305366274,-0.3659066950861079
difference,-0.14947479749274917,0.09883956895799784,-0.1641046595797161,-0.3438489564531413,-0.4560777818116097,-0.22128769248657731,-0.23853532583286807,-0.11799807304744114,0.003665234587099442,-0.3907961434453894,-0.23943228268264022,-0.07091246375774185,-0.22626752122098315,0.0426347581886824,0.5447969694792287,-0.3194700452285696,0.05397109875043715,0.5214291869347585,0.12902830393913378,-0.3702206513390327,-0.19275494768584645,0.05332501375005616,0.7172062678009165,-0.06468169879535213,-0.2285722889750424,0.4274649088625321,0.6593446377947254,0.5330907067155364,-0.09278537636197176,-0.35357508791941245,-0.20928300481623585,-0.05496018448696094,0.17283118783633622,0.002586828497712801,0.72873968350511,-0.0746547140746272,-0.13876738830627944,-0.2822081159148865,0.3150131825315571,0.4948135008148744,0.6892084883523273,-0.23959296900727056,-0.11999443368944962,-0.206667739614289,-0.12527539309910596,-0.2521503321718338,-0.1721232040109124,-0.4595449885080105,-0.20626151659831082,-0.12129943192649262
